Date,Type,Description,Amount,Balance,Tags
20 Sep 24,Debit,SDP_B017109118001_50558868_BY CASH,25000.0,26238.6,internal_transfer
20 Sep 24,Debit,NFS-ATM/ CASHWD,3000.0,23238.6,cash_withdrawal
20 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,23215.0,atm_fee
20 Sep 24,Debit,NFS-ATM/ CASHWD,10000.0,13215.0,cash_withdrawal
20 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,13191.4,atm_fee
20 Sep 24,Debit,NFS-ATM/ CASHWD,10000.0,3191.4,cash_withdrawal
20 Sep 24,Debit,NFS-ATM/CASHWD CHRG,23.6,3167.8,atm_fee
20 Sep 24,Debit,NFS-ATM/ CASHWD,2000.0,1167.8,cash_withdrawal
